ID	комнат\тип	цена	район	ориентир	улица	этаж	этажность	общая площадь	жилая площадь	площадь кухни	схема	материал	с\у	балкон	состояние	телефон 1	комментарий
394340	3и	69	Шатиловка	метро Научная	Академика Ляпунова ул.	6	16	70	41	9	разд	пан.	разд.	2 бал.заст.	косметика	063-643-18-52	
394342	1и	21	Новые Дома	метро Армейская	Ощепкова Андрея ул.	5	5	31	17	7	разд	кир.	разд.	1 балк.заст.	капитальный	063-643-18-52	
394343	2и	22	Артема	ул.Энергетическая	Дизельная ул.	2	2	50	29	12	разд	кир.	разд.	2 балкона	косметика	063-643-18-52	
394344	2и	24	Артема	ост.Войкова	Ковтуна ул.	1	2	47	30	10	разд	кир.	совм.	Балк. НЕТ	капитальный	063-643-18-52	
394345	3и	36,5	Нижний Центр	ул.Богдана Хмельницкого	Московский просп.	2	3	67	40	11	разд	кир.	совм.	Балк. НЕТ	косметика	063-643-18-52	
394346	1и	26	Шишковка	ул. Шевченко	Вологодская ул.	1	9	35	19	7	разд	кир.	совм.	1 балк.заст.	косметика	099-291-48-57	
394352	1и	17,499	Восточный	м.Индустриальная (Пролетарская)	Луи Пастера ул.	2	9	33	18	7	разд	пан.	совм.	1 балк.заст.	жилое	067-918-50-55	
394353	4и	45	2 Северная Салтовка	Экватор	Дружбы Народов ул.	5	16	83	52	9	разд	пан.	разд.	3 балк.заст.	без ремонта	099-194-85-70	
394357	2г	11	Салтовка 615м/р	метро Академика Павлова	Гвардейцев Широнинцев ул.	9	9	47	30	4	разд	кир.	общий	Балк. НЕТ	без ремонта	099-194-85-70	
394362	2и	16	м. пл. Восстания	универмаг" Харьков"	Спортивный пер.	1	2	31	24	2	разд	кир.	разд.	Балк. НЕТ	жилое	050-672-60-71	
394363	1г	12	Старая Салтовка	Халтурина	Халтурина ул.	1	2	18	14	2	разд	кир.	совм.	Балк. НЕТ	косметика	099-445-48-02	
394364	3н	65	Алексеевка	Супермаркет "Рост", ст. метро "Победа"	Победы просп.	16	23	118	70	14	разд	монол	2 раз.	2 бал.заст.	строительный	050-672-60-71	
394366	2н	38	Алексеевка	супермаркет "Рост"	Победы просп.	3	23	71	41	10	разд	монол	совм.	1 балк.заст.	строительный	050-672-60-71	
394367	1и	35,5	Салтовка 625м/р	Класс	Салтовское шоссе	5	12	33	17	7	разд	пан.	совм.	1 балк.заст.	евроремонт	099-445-48-02	
394368	3н	85	Павловка	спортклуб Йод	Клочковская ул.	2	9	80	40	19	разд	кир.	2 сов.	2 бал.заст.	евроремонт	063-643-18-52	
394372	1и	25	м. пл. Восстания	Конный рынок	Фесенковская ул.	12	12	33	17	8	разд	пан.	совм.	1 балк.заст.	косметика	063-643-18-52	
394374	2и	52	м. пл. Восстания	7-ми этажка	Московский просп.	6	9	73	39	9	разд	кир.	разд.	2 бал.заст.	жилое	099-204-08-02	
394379	3и	85	Салтовка 602м/р	Медкомплекс	Салтовское шоссе	9	10	82	45	28	разд	кир.	2 сов.	2 бал.заст.	евроремонт	050-138-46-40	
394381	2и	21	Южнопроектная	Метро	Локомотивная ул.	5	5	52	28	9	разд	кир.	совм.	1 балк.заст.	жилое	097-007-90-18	
394382	1г	17,6	Одесская	Одесская	Гагарина просп.	3	4	24	21	3	разд	кир.	совм.	Балк. НЕТ	косметика	096-622-86-39	
394383	1и	23	Харьковский район	Песочин	Набережная	8	9	33	17	6	разд	пан.	разд.	1 балк.заст.	евроремонт	050-263-81-52	
394389	3и	27,5	Рогань	Горизонт	Большая Кольцевая ул.	11	12	77	42	9	разд	пан.	разд.	3 балк.заст.	жилое	067-572-83-36	
394390	3и	27,5	Рогань	Горизонт	Большая Кольцевая ул.	16	16	69	41	9	разд	пан.	совм.	2 бал.1 заст	жилое	067-572-83-36	
394398	2и	16,5	Салтовка 606А м/р	Владимирская Церковь	Светлая ул.	6	9	45	30	5	разд	пан.	совм.	Балк. НЕТ	косметика	066-181-98-81	
394402	1п	7,2	З-д Шевченко	Рынок	Москалевская ул.	10	14	24	16	8	разд	кир.	разд.	1 балкон	косметика	050-281-32-22	
394407	3и	55	Старая Салтовка	" Французский бульвар"	Салтовское шоссе	3	9	85	45	14	разд	кир.	2 сов.	3 балк.заст.	капитальный	050-138-46-40	
394408	3и	35	Салтовка 531м/р	Льва Толстого	Тракторостроителей просп.	2	9	65	45	7	2+1	пан.	совм.	2 бал.заст.	евроремонт	050-956-85-66	
394410	3и	11	Балаклейский район	Балаклея	Соборная	5	5	67	40	9	разд	пан.	разд.	2 бал.заст.	косметика	050-738-32-88	
394413	3и	40	Салтовка 524м/р	м. Героев Труда	Героев Труда ул.	2	9	66	40	6	2+1	пан.	совм.	2 бал.заст.	жилое	066-082-97-82	
394414	4и	30	Салтовка 626м/р	Медкомплекс	Солнечная	14	16	83	54	9	3+1	пан.	разд.	3 балк.заст.	косметика	050-683-64-79	
394415	1и	35	Алексеевка	метро Алексеевская	Людвига Свободы	2	16	40	20	9	разд	пан.	разд.	1 балк.заст.	жилое	068-890-78-84	
394417	3и	110	Центр	метро Научная	Науки просп.	2	5	79	23	33	2+1	кир.	разд.	1 балк.заст.	евроремонт	095-736-56-30	
394418	1и	8	Харьковский район	Циркуны	Соборная	1	1	42	24	16	разд	кир.	совм.	Балк. НЕТ	жилое	066-187-75-52	
394419	2н	60	Алексеевка	Метро"Алексеевская"	Ахсарова ул.	3	10	75	39	13	разд	кир.	разд.	1 балкон	строительный	066-187-75-52	
394420	1и	14	Новоселовка	МЧС	Баварская ул.	2	2	31	19	6	разд	кир.	совм.	Балк. НЕТ	жилое	066-187-75-52	
394421	1и	20,5	Салтовка 602м/р	602-603	Познанская ул.	5	5	31	17	7	разд	кир.	совм.	1 балк.заст.	жилое	096-087-49-27	
394422	2и	28,5	Холодная Гора	с/м Рост	Полтавский Шлях ул.	2	5	45	30	6	смеж	кир.	совм.	1 балк.заст.	без ремонта	099-019-76-58	
394424	1г	17,5	Новые Дома	метро Армейская	Ощепкова Андрея ул.	2	2	16	12	3	разд	кир.	разд.	1 балк.заст.	капитальный	050-029-85-30	
394429	1г	14	Старая Салтовка	ЖК Французский квартал	Салтовское шоссе	4	6	35	27	3	разд	кир.	разд.	1 балк.заст.	строительный	099-194-85-70	
394438	2и	31	Нижний Центр	Цирк	Урицкого	2	9	46	28	7	разд	пан.	совм.	1 балк.заст.	жилое	099-227-02-33	
394443	3и	6,5	Балаклейский район	Балаклея	Цветочная	2	3	62	45	7	2+1	кир.	совм.	Балк. НЕТ	жилое	099-348-78-44	
394450	3и	29,9	Салтовка 605м/р	метро Барабашова	Гвардейцев Широнинцев ул.	3	5	62	44	6	разд	кир.	разд.	1 балкон	жилое	095-736-56-30	
394455	3и	22	Аэропорт	Котляры	Мира ул.	2	5	65	40	8	разд	кир.	разд.	2 бал.заст.	косметика	098-784-78-32	
394456	2и	39,5	2 Северная Салтовка	МЖК Интернационалист	Кричевского ул.	1	12	61	45	10	разд	кир.	разд.	2 бал.заст.	жилое	098-445-06-81	
394457	2и	24	Москалевка	Новый цирк	Москалевская ул.	3	5	47	30	7	смеж	кир.	совм.	1 балк.заст.	жилое	098-445-06-81	
394458	1и	39,9	Нагорный район	м. Пушкинская	Чернышевского ул.	1	5	43	25	8	разд	кир.	совм.	Балк. НЕТ	косметика	066-103-63-73	
394462	1г	11,5	Красный луч	метро	Плехановская ул.	9	14	22	18	3	разд	кир.	разд.	Балк. НЕТ	без ремонта	093-307-37-03	
394474	1п	6,5	Сортировка	Облвоенкомат	Железнодорожная	3	3	21	17	2	разд	кир.	общий	Балк. НЕТ	жилое	095-911-52-63	
394475	2и	27	Салтовка 531м/р	м. Г. Труда	Тракторостроителей просп.	2	9	44	28	6	разд	пан.	разд.	1 балк.заст.	без ремонта	098-240-11-34	
394477	2и	32,5	Новые Дома	М. Дворец Спорта	Академика Юрьева бульв.	1	5	43	28	7	разд	пан.	совм.	Балк. НЕТ	капитальный	050-284-44-24	
394479	2и	5	Балаклейский район	Балаклея	Октябрьская	2	2	45	33	8	смеж	кир.	совм.	1 балк.заст.	косметика	095-348-19-65	
394482	1и	6	Балаклейский район	Балаклея	Стадионная	2	5	41	21	8	разд	кир.	разд.	1 балк.заст.	жилое	095-348-19-65	
394483	3и	7	Балаклейский район	Балаклея	Нефтяников	2	2	62	42	9	2+1	кир.	совм.	1 балк.заст.	капитальный	095-348-19-65	
394484	3и	7	Балаклейский район	Балаклея	Нефтяников	5	5	62	42	9	2+1	кир.	совм.	1 балк.заст.	косметика	095-348-19-65	
394485	4и	10	Балаклейский район	Балаклея	Октябрьская	9	9	72	52	9	разд	кир.	совм.	2 бал.заст.	жилое	095-348-19-65	
394486	3и	10	Балаклейский район	Балаклея	Октябрьская	3	5	60	38	8	разд	кир.	разд.	2 бал.заст.	жилое	095-348-19-65	
